Sales_Date,Product_ID,Product_Name,Price,Cost,Sales_Quantity,Initial_Stock,End_Stock
02/01/2023,P0006,Baju Kurung Pahang,367.81,139.3,100,1000,900
02/01/2023,P0056,Baju Kurung Elegance,462.52,132.18,2,1000,998
02/01/2023,P0063,Modern Baju Kurung,120.63,154.65,5,1000,995
02/01/2023,P0064,Traditional Batik Wrap,423.42,282.4,3,1000,997
02/01/2023,P0066,Batik Maxi Dress,117.26,210.21,20,1000,980
02/01/2023,P0068,Baju Melayu Luxe Silver,102.69,173.48,11,1000,989
02/01/2023,P0076,Baju Melayu Comfort,282.67,140.28,1,1000,999
02/01/2023,P0080,Batik Palazzo Pants,120.68,288.32,1,1000,999
02/01/2023,P0081,Casual Baju Kurung,325.12,298.43,7,1000,993
02/01/2023,P0091,Kurta with Batik Print,268.96,142.99,20,1000,980
03/01/2023,P0006,Baju Kurung Pahang,367.81,139.3,350,900,550
03/01/2023,P0056,Baju Kurung Elegance,462.52,132.18,9,998,982
03/01/2023,P0063,Modern Baju Kurung,120.63,154.65,9,995,981
03/01/2023,P0064,Traditional Batik Wrap,423.42,282.4,9,997,986
03/01/2023,P0066,Batik Maxi Dress,117.26,210.21,9,980,980
03/01/2023,P0068,Baju Melayu Luxe Silver,102.69,173.48,9,989,975
03/01/2023,P0076,Baju Melayu Comfort,282.67,140.28,9,999,984
03/01/2023,P0080,Batik Palazzo Pants,120.68,288.32,9,999,981
03/01/2023,P0081,Casual Baju Kurung,325.12,298.43,9,993,982
03/01/2023,P0091,Kurta with Batik Print,268.96,142.99,9,980,969
04/01/2023,P0006,Baju Kurung Pahang,367.81,139.3,550,550,0
04/01/2023,P0056,Baju Kurung Elegance,462.52,132.18,9,982,964
04/01/2023,P0063,Modern Baju Kurung,120.63,154.65,9,981,975
04/01/2023,P0064,Traditional Batik Wrap,423.42,282.4,9,986,984
04/01/2023,P0066,Batik Maxi Dress,117.26,210.21,9,980,961
04/01/2023,P0068,Baju Melayu Luxe Silver,102.69,173.48,9,975,967
04/01/2023,P0076,Baju Melayu Comfort,282.67,140.28,9,984,964
04/01/2023,P0080,Batik Palazzo Pants,120.68,288.32,9,981,964
04/01/2023,P0081,Casual Baju Kurung,325.12,298.43,9,982,978
04/01/2023,P0091,Kurta with Batik Print,268.96,142.99,9,969,966
05/01/2023,P0006,Baju Kurung Pahang,367.81,139.3,0,0,0
05/01/2023,P0056,Baju Kurung Elegance,462.52,132.18,9,964,944
